| Natural Language Question | MongoDB Query | Collection Name |
| Get the student IDs of students who have not taken any "quiz" type of assessment. | `db.grades.distinct("student_id", {scores: {$not: {$elemMatch: {type: "quiz"}}}})` | grades |
| Find the total number of scores for each type of assessment. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: "$scores.type", total_scores: {$sum: 1}}}])` | grades |
| Get the class IDs of classes where the average score for the "exam" type of assessment is greater than 80. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "exam"}}, {$group: {_id: "$class_id", avg_exam_score: {$avg: "$scores.score"}}}, {$match: {avg_exam_score: {$gt: 80}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Get the class IDs of classes where all students have scored above 70 in the "exam" type of assessment. | `db.grades.aggregate([{$match: {"scores.type": "exam", "scores.score": {$gt: 70}}}, {$group: {_id: "$class_id", student_ids: {$addToSet: "$student_id"}}}, {$project: {class_id: "$_id", _id: 0, num_students: {$size: "$student_ids"}}}, {$group: {_id: null, qualified_classes: {$push: {class_id: "$class_id", num_students: "$num_students"}}}}, {$unwind: "$qualified_classes"}, {$replaceRoot: {newRoot: "$qualified_classes"}}, {$match: {num_students: {$gt: 0}}}])` | grades |
| Find the student IDs of students who have not taken any assessment. | `db.grades.distinct("student_id", {scores: {$size: 0}})` | grades |
| Get the class IDs of classes where the difference between the maximum and minimum scores in the "homework" type of assessment is greater than 20. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "homework"}}, {$group: {_id: "$class_id", max_score: {$max: "$scores.score"}, min_score: {$min: "$scores.score"}}}, {$match: {$expr: {$gt: [{$subtract: ["$max_score", "$min_score"]}, 20]}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored more than 80 in all types of assessments. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", type: "$scores.type"}, score: {$push: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$push: {type: "$_id.type", scores: "$score"}}}}, {$match: {"scores.scores": {$not: {$elemMatch: {$lte: 80}}}}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the average score for the "quiz" type of assessment is less than 60. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "quiz"}}, {$group: {_id: "$class_id", avg_quiz_score: {$avg: "$scores.score"}}}, {$match: {avg_quiz_score: {$lt: 60}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored the same in all types of assessments. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", score: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$addToSet: "$_id.score"}}}, {$match: {scores: {$size: 1}}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the difference between the maximum and minimum scores in the "exam" type of assessment is less than 10. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "exam"}}, {$group: {_id: "$class_id", max_score: {$max: "$scores.score"}, min_score: {$min: "$scores.score"}}}, {$match: {$expr: {$lt: [{$subtract: ["$max_score", "$min_score"]}, 10]}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored more than 90 in at least two types of assessments. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", type: "$scores.type"}, score: {$push: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$push: {type: "$_id.type", scores: "$score"}}}}, {$match: {"scores.scores": {$elemMatch: {$gt: 90}}}}, {$group: {_id: "$_id", num_high_scores: {$sum: {$cond: [{$gt: ["$scores.scores", [90]]}, 1, 0]}}}}, {$match: {num_high_scores: {$gt: 1}}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the standard deviation of scores in the "homework" type of assessment is greater than 10. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "homework"}}, {$group: {_id: "$class_id", scores: {$push: "$scores.score"}}}, {$addFields: {std_dev: {$stdDevPop: "$scores"}}}, {$match: {std_dev: {$gt: 10}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |

| Find the student IDs of students who have scored between 70 and 80 in the "quiz" type of assessment. | `db.grades.find({"scores.type": "quiz", "scores.score": {$gte: 70, $lte: 80}}, {student_id: 1, _id: 0})` | grades |
| Get the class IDs of classes where the maximum score for the "homework" type of assessment is less than 90. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "homework"}}, {$group: {_id: "$class_id", max_score: {$max: "$scores.score"}}}, {$match: {max_score: {$lt: 90}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored above 80 in all types of assessments except the "exam" type. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", type: "$scores.type"}, score: {$push: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$push: {type: "$_id.type", scores: "$score"}}}}, {$match: {"scores.scores": {$not: {$elemMatch: {$lte: 80}}}, "scores.type": {$ne: "exam"}}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the average score for the "homework" type of assessment is between 70 and 80. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "homework"}}, {$group: {_id: "$class_id", avg_homework_score: {$avg: "$scores.score"}}}, {$match: {avg_homework_score: {$gte: 70, $lte: 80}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored the same in all types of assessments and that score is greater than 85. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", score: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$addToSet: "$_id.score"}}}, {$match: {scores: {$size: 1}, scores: {$elemMatch: {$gt: 85}}}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the difference between the maximum and minimum scores in the "quiz" type of assessment is exactly 20. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "quiz"}}, {$group: {_id: "$class_id", max_score: {$max: "$scores.score"}, min_score: {$min: "$scores.score"}}}, {$match: {$expr: {$eq: [{$subtract: ["$max_score", "$min_score"]}, 20]}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored more than 90 in at least one type of assessment and less than 60 in at least one other type of assessment. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", type: "$scores.type"}, score: {$push: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$push: {type: "$_id.type", scores: "$score"}}}}, {$match: {$and: [{"scores.scores": {$elemMatch: {$gt: 90}}}, {"scores.scores": {$elemMatch: {$lt: 60}}}]}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the median score for the "exam" type of assessment is greater than 80. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "exam"}}, {$group: {_id: "$class_id", exam_scores: {$push: "$scores.score"}}}, {$addFields: {median_score: {$arrayElemAt: [{$sortArray: {input: "$exam_scores", sortBy: 1}}, {$ceil: {$divide: [{$size: "$exam_scores"}, 2]} - 1}]}}}, {$match: {median_score: {$gt: 80}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have not taken any assessment in a particular class (class ID provided). | `db.grades.distinct("student_id", {class_id: <class_id>, scores: {$size: 0}})` | grades |
| Get the class IDs of classes where the range (difference between maximum and minimum scores) for the "homework" type of assessment is less than 15. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "homework"}}, {$group: {_id: "$class_id", max_score: {$max: "$scores.score"}, min_score: {$min: "$scores.score"}}}, {$addFields: {range: {$subtract: ["$max_score", "$min_score"]}}}, {$match: {range: {$lt: 15}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored more than 90 in the "exam" type of assessment and less than 70 in the "quiz" type of assessment. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", type: "$scores.type"}, score: {$push: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$push: {type: "$_id.type", scores: "$score"}}}}, {$match: {$and: [{"scores.scores": {$elemMatch: {$gt: 90, $elemMatch: {$eq: "exam"}}}}, {"scores.scores": {$elemMatch: {$lt: 70, $elemMatch: {$eq: "quiz"}}}}]}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the difference between the average scores of the "exam" and "homework" types of assessments is less than 5. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {class_id: "$class_id", type: "$scores.type"}, avg_score: {$avg: "$scores.score"}}}, {$group: {_id: "$_id.class_id", exam_avg: {$avg: {$cond: [{$eq: ["$_id.type", "exam"]}, "$avg_score", 0]}}, homework_avg: {$avg: {$cond: [{$eq: ["$_id.type", "homework"]}, "$avg_score", 0]}}}}, {$addFields: {diff: {$abs: {$subtract: ["$exam_avg", "$homework_avg"]}}}}, {$match: {diff: {$lt: 5}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored more than 80 in all types of assessments and the difference between their maximum and minimum scores is less than 10. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", type: "$scores.type"}, score: {$push: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$push: {type: "$_id.type", scores: "$score"}}}}, {$match: {"scores.scores": {$not: {$elemMatch: {$lte: 80}}}}}, {$addFields: {max_score: {$max: "$scores.scores"}, min_score: {$min: "$scores.scores"}}}, {$match: {$expr: {$lt: [{$subtract: ["$max_score", "$min_score"]}, 10]}}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the standard deviation of scores in the "exam" type of assessment is less than 5. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "exam"}}, {$group: {_id: "$class_id", scores: {$push: "$scores.score"}}}, {$addFields: {std_dev: {$stdDevPop: "$scores"}}}, {$match: {std_dev: {$lt: 5}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored between 70 and 80 in all types of assessments. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", type: "$scores.type"}, score: {$push: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$push: {type: "$_id.type", scores: "$score"}}}}, {$match: {"scores.scores": {$not: {$elemMatch: {$lt: 70, $gt: 80}}}}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the maximum score for the "exam" type of assessment is greater than 95 and the minimum score is less than 60. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "exam"}}, {$group: {_id: "$class_id", max_score: {$max: "$scores.score"}, min_score: {$min: "$scores.score"}}}, {$match: {$and: [{max_score: {$gt: 95}}, {min_score: {$lt: 60}}]}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored more than 90 in the "quiz" type of assessment and less than 70 in the "homework" type of assessment. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", type: "$scores.type"}, score: {$push: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$push: {type: "$_id.type", scores: "$score"}}}}, {$match: {$and: [{"scores.scores": {$elemMatch: {$gt: 90, $elemMatch: {$eq: "quiz"}}}}, {"scores.scores": {$elemMatch: {$lt: 70, $elemMatch: {$eq: "homework"}}}}]}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the average score for the "quiz" type of assessment is greater than 80 and the average score for the "homework" type of assessment is less than 70. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {class_id: "$class_id", type: "$scores.type"}, avg_score: {$avg: "$scores.score"}}}, {$group: {_id: "$_id.class_id", quiz_avg: {$avg: {$cond: [{$eq: ["$_id.type", "quiz"]}, "$avg_score", 0]}}, homework_avg: {$avg: {$cond: [{$eq: ["$_id.type", "homework"]}, "$avg_score", 0]}}}}, {$match: {$and: [{quiz_avg: {$gt: 80}}, {homework_avg: {$lt: 70}}]}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored the same in all types of assessments and that score is between 70 and 80. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", score: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$addToSet: "$_id.score"}}}, {$match: {scores: {$size: 1, $elemMatch: {$gte: 70, $lte: 80}}}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the difference between the maximum and minimum scores in the "quiz" type of assessment is greater than 30. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "quiz"}}, {$group: {_id: "$class_id", max_score: {$max: "$scores.score"}, min_score: {$min: "$scores.score"}}}, {$match: {$expr: {$gt: [{$subtract: ["$max_score", "$min_score"]}, 30]}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have scored more than 90 in at least two types of assessments and less than 60 in at least one other type of assessment. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: {student_id: "$student_id", type: "$scores.type"}, score: {$push: "$scores.score"}}}, {$group: {_id: "$_id.student_id", scores: {$push: {type: "$_id.type", scores: "$score"}}}}, {$match: {$and: [{"scores.scores": {$elemMatch: {$gt: 90}}}, {"scores.scores": {$elemMatch: {$lt: 60}}}, {"scores.scores": {$elemMatch: {$gt: 90, $size: 2}}}]}}, {$project: {_id: 1}}])` | grades |
| Get the class IDs of classes where the median score for the "homework" type of assessment is between 75 and 85. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "homework"}}, {$group: {_id: "$class_id", homework_scores: {$push: "$scores.score"}}}, {$addFields: {median_score: {$arrayElemAt: [{$sortArray: {input: "$homework_scores", sortBy: 1}}, {$ceil: {$divide: [{$size: "$homework_scores"}, 2]} - 1}]}}}, {$match: {median_score: {$gte: 75, $lte: 85}}}, {$group: {_id: null, class_ids: {$push: "$_id"}}}])` | grades |
| Find the student IDs of students who have not taken any assessment in any class. | `db.grades.distinct("student_id", {scores: {$size: 0}})` | grades |

| What is the maximum wind speed recorded? | `db.weather.find({}, {"wind.speed.rate": 1}).sort({"wind.speed.rate": -1}).limit(1)` | weather |
| Find all stations with a visibility distance greater than 10 miles. | `db.weather.find({"visibility.distance.value": {$gt: 10}})` | weather |
| Get the count of records where the air temperature quality is "good". | `db.weather.count({"airTemperature.quality": "good"})` | weather |
| Find all records where the wind direction angle is between 180 and 360 degrees. | `db.weather.find({"wind.direction.angle": {$gte: 180, $lte: 360}})` | weather |
| Get the average dew point value. | `db.weather.aggregate([{$group: {_id: null, avgDewPoint: {$avg: "$dewPoint.value"}}}])` | weather |
| Find all stations with ceiling height determination "NOINSTRUMENT". | `db.weather.find({"skyCondition.ceilingHeight.determination": "NOINSTRUMENT"})` | weather |
| Get the count of records where the precipitation estimated observation has a discrepancy. | `db.weather.count({"precipitationEstimatedObservation.discrepancy": {$exists: true}})` | weather |
| Find all records with past weather observation manual atmospheric condition "DUST". | `db.weather.find({"pastWeatherObservationManual.atmosphericCondition.value": "DUST"})` | weather |
| Get the distinct values of quality control processes. | `db.weather.distinct("qualityControlProcess")` | weather |
| Find all records where the pressure value is between 990 and 1010 hPa. | `db.weather.find({"pressure.value": {$gte: 990, $lte: 1010}})` | weather |
| Get the count of records with more than one section. | `db.weather.count({sections: {$size: {$gt: 1}}})` | weather |
| Find all records where the variability value is "STEADY". | `db.weather.find({"variability.value": "STEADY"})` | weather |
| Get the maximum ceiling height value. | `db.weather.find({}, {"skyCondition.ceilingHeight.value": 1}).sort({"skyCondition.ceilingHeight.value": -1}).limit(1)` | weather |
| Find all records where the past weather observation manual period is greater than 6 hours. | `db.weather.find({"pastWeatherObservationManual.period.value": {$gt: 6}})` | weather |
| Get the distinct values of data sources. | `db.weather.distinct("dataSource")` | weather |
| Find all records where the position type is "Point". | `db.weather.find({"position.type": "Point"})` | weather |
| Get the count of records with a valid air temperature value (not null). | `db.weather.count({"airTemperature.value": {$ne: null}})` | weather |
| Find all records where the wind speed quality is "good" and the wind direction angle is between 270 and 360 degrees. | `db.weather.find({"wind.speed.quality": "good", "wind.direction.angle": {$gte: 270, $lte: 360}})` | weather |
| Get the distinct values of station identifiers. | `db.weather.distinct("st")` | weather |
| Find all records where the visibility distance quality is "good" and the visibility distance value is greater than 5 miles. | `db.weather.find({"visibility.distance.quality": "good", "visibility.distance.value": {$gt: 5}})` | weather |

| Find all records where the air temperature value is below freezing (0°C). | `db.weather.find({"airTemperature.value": {$lt: 0}})` | weather |
| Get the distinct values of ceiling height determination. | `db.weather.distinct("skyCondition.ceilingHeight.determination")` | weather |
| Find all records where the pressure quality is "good" and the pressure value is greater than 1020 hPa. | `db.weather.find({"pressure.quality": "good", "pressure.value": {$gt: 1020}})` | weather |
| Get the count of records where the wind direction quality is "good". | `db.weather.count({"wind.direction.quality": "good"})` | weather |
| Find all records where the dew point value is within 2 degrees of the air temperature value. | `db.weather.find({$where: "Math.abs(this.dewPoint.value - this.airTemperature.value) <= 2"})` | weather |
| Get the distinct values of atmospheric conditions in past weather observation manual. | `db.weather.distinct("pastWeatherObservationManual.atmosphericCondition.value")` | weather |
| Find all records where the visibility distance value is less than 1 mile. | `db.weather.find({"visibility.distance.value": {$lt: 1}})` | weather |
| Get the average wind speed rate. | `db.weather.aggregate([{$group: {_id: null, avgWindSpeed: {$avg: "$wind.speed.rate"}}}])` | weather |
| Find all records where the variability quality is "good". | `db.weather.find({"variability.quality": "good"})` | weather |
| Get the count of records where the ceiling height value is missing (null). | `db.weather.count({"skyCondition.ceilingHeight.value": null})` | weather |
| Find all records where the station identifier starts with "K". | `db.weather.find({st: /^K/})` | weather |
| Find all records where the estimated water depth is greater than 0.5 inches. | `db.weather.find({"precipitationEstimatedObservation.estimatedWaterDepth": {$gt: 0.5}})` | weather |
| Get the count of records where the ceiling height cavok is "YES". | `db.weather.count({"skyCondition.ceilingHeight.cavok": "YES"})` | weather |
| Find all records where the position elevation is greater than 1000 feet. | `db.weather.find({"position.elevation": {$gt: 1000}})` | weather |
| Find all records where the past weather observation manual period quality is "good". | `db.weather.find({"pastWeatherObservationManual.period.quality": "good"})` | weather |
| Get the count of records where the wind direction angle is between 0 and 90 degrees. | `db.weather.count({"wind.direction.angle": {$gte: 0, $lte: 90}})` | weather |
| Get the distinct values of position types. | `db.weather.distinct("position.type")` | weather |

| Find restaurants in the Bronx borough. | `db.restaurants.find({ 'address.borough': 'Bronx' })` | restaurants |
| Find restaurants on Main St street. | `db.restaurants.find({ 'address.street': 'Main St' })` | restaurants |
| Find restaurants with zipcode 10001. | `db.restaurants.find({ 'address.zipcode': '10001' })` | restaurants |
| Find restaurants at coordinate [-73.9, 40.7]. | `db.restaurants.find({ 'address.coord': [ -73.9, 40.7 ] })` | restaurants |
| Find restaurants with grade score greater than 20. | `db.restaurants.find({ 'grades.score': { $gt: 20 } })` | restaurants |
| Find restaurants with grade date on or after 2023-01-01. | `db.restaurants.find({ 'grades.date': { $gte: ISODate('2023-01-01') } })` | restaurants |
| Find restaurants with grade 'A'. | `db.restaurants.find({ 'grades.grade': 'A' })` | restaurants |
| Find restaurants with building number 123. | `db.restaurants.find({ 'address.building': '123' })` | restaurants |
| Find restaurants with multiple grades. | `db.restaurants.find({ 'grades.1': { $exists: true } })` | restaurants |
| Find restaurants with grade 'B' and score between 20 and 30. | `db.restaurants.find({ 'grades.grade': 'B', 'grades.score': { $gte: 20, $lte: 30 } })` | restaurants |
| Find restaurants on Main St street with Mexican cuisine. | `db.restaurants.find({ 'address.street': 'Main St', cuisine: 'Mexican' })` | restaurants |
| Find restaurants with Chinese cuisine in Manhattan borough. | `db.restaurants.find({ cuisine: 'Chinese', 'address.borough': 'Manhattan' })` | restaurants |
| Find restaurants named 'Sushi Bar' at coordinate [-74.0, 40.7]. | `db.restaurants.find({ name: 'Sushi Bar', 'address.coord': [ -74.0, 40.7 ] })` | restaurants |
| Find restaurants with grade 'A' and building number 123. | `db.restaurants.find({ 'grades.grade': 'A', 'address.building': '123' })` | restaurants |
| Find restaurants with Thai cuisine and zipcode 10002. | `db.restaurants.find({ cuisine: 'Thai', 'address.zipcode': '10002' })` | restaurants |
| Find restaurants with grade 'B' on Broadway street. | `db.restaurants.find({ 'grades.grade': 'B', 'address.street': 'Broadway' })` | restaurants |
| Find restaurants with Indian cuisine and multiple grades. | `db.restaurants.find({ cuisine: 'Indian', 'grades.1': { $exists: true } })` | restaurants |
| Find restaurants named 'Steakhouse' with grade score between 25 and 30. | `db.restaurants.find({ name: 'Steakhouse', 'grades.score': { $gte: 25, $lte: 30 } })` | restaurants |
| Find restaurants in Queens borough with grade date in 2022. | `db.restaurants.find({ 'address.borough': 'Queens', 'grades.date': { $gte: ISODate('2022-01-01'), $lte: ISODate('2022-12-31') } })` | restaurants |
| Find restaurants with French cuisine and building number 456. | `db.restaurants.find({ cuisine: 'French', 'address.building': '456' })` | restaurants |
| Find restaurants named 'Cafe' with multiple grades and score 25. | `db.restaurants.find({ name: 'Cafe', 'grades.score': 25, 'grades.1': { $exists: true } })` | restaurants |
